,Ref Amp,Ref PW,Ref Freq,Ref Dur,Active Channels,Return Channels,Session
3,0,0,0,0,15,128,85
4,0,0,0,0,15,192,85
0,0,0,0,0,15,0,86
1,0,0,0,0,15,32,86
2,0,0,0,0,15,64,86
3,0,0,0,0,15,128,86
4,0,0,0,0,15,192,86
0,0,0,0,0,15,0,87
1,0,0,0,0,15,16,87
2,0,0,0,0,15,32,87
3,0,0,0,0,15,64,87
4,0,0,0,0,15,128,87
0,0,0,0,0,15,128,88
0,0,0,0,0,15,64,89
1,0,0,0,0,15,128,89
0,0,0,0,0,15,0,90
1,0,0,0,0,15,16,90
2,0,0,0,0,15,32,90
3,0,0,0,0,15,64,90
4,0,0,0,0,15,128,90
0,0,0,0,0,15,16,91
1,0,0,0,0,15,64,91
2,0,0,0,0,15,128,91
0,0,0,0,0,15,16,92
1,0,0,0,0,15,64,92
2,0,0,0,0,15,128,92
3,0,0,0,0,15,192,92
0,0,0,0,0,15,64,93
1,0,0,0,0,15,128,93
0,0,0,0,0,15,128,94
0,0,0,0,0,15,32,95
1,0,0,0,0,15,64,95
2,0,0,0,0,15,128,95
0,0,0,0,0,15,64,96
1,0,0,0,0,15,128,96
0,0,0,0,0,15,64,97
1,0,0,0,0,15,128,97
0,0,0,0,0,15,16,98
1,0,0,0,0,15,32,98
2,0,0,0,0,15,64,98
3,0,0,0,0,15,128,98
4,0,0,0,0,15,240,98
0,0,0,0,0,15,64,99
1,0,0,0,0,15,128,99
0,0,0,0,0,15,64,100
1,0,0,0,0,15,128,100
0,0,0,0,0,15,128,101
0,0,0,0,0,15,128,102
0,0,0,0,0,15,128,103
0,0,0,0,0,15,128,104
0,0,0,0,0,15,128,105
0,0,0,0,0,15,128,106
0,0,0,0,0,15,128,107
0,0,0,0,0,15,128,108
0,0,0,0,0,15,128,109
0,600,200,50,200,15,128,110
0,300,200,50,200,15,128,111
0,0,200,50,500,15,128,112
1,480,200,50,500,15,128,112
0,0,200,50,500,15,128,113
1,500,200,50,500,15,128,113
0,0,200,50,500,15,128,114
1,500,200,50,500,15,128,114
0,0,200,50,500,15,128,115
1,67,200,50,500,15,128,115
2,400,200,50,500,15,128,115
3,580,200,50,500,15,128,115
4,670,200,50,500,15,128,115
0,0,200,50,500,15,16,116
1,30,200,50,500,15,16,116
2,300,200,50,500,15,16,116
3,420,200,50,500,15,16,116
0,0,200,50,500,15,128,117
1,300,200,50,500,15,128,117
2,500,200,50,500,15,128,117
3,600,200,50,500,15,128,117
0,0,200,50,500,15,16,118
1,0,200,50,500,15,128,118
0,0,200,50,500,15,16,119
1,70,200,50,500,15,16,119
2,140,200,50,500,15,16,119
0,0,200,50,500,15,128,120
1,300,200,50,500,15,128,120
0,5,200,50,500,15,128,121
1,400,200,50,500,15,128,121
2,510,200,50,500,15,128,121
3,600,200,50,500,15,128,121
4,610,200,50,500,15,128,121
0,0,200,50,500,15,128,122
0,400,200,50,500,15,128,123
1,600,200,50,500,15,128,123
2,800,200,50,500,15,128,123
0,0,200,50,500,15,128,124
1,600,200,50,500,15,128,124
0,0,200,50,500,15,64,125
0,0,200,50,500,15,64,126
1,400,200,50,500,15,64,126
2,600,200,50,500,15,64,126
3,800,200,50,500,15,64,126
0,400,100,50,500,15,64,127
0,400,100,50,500,15,64,128
0,400,100,50,500,15,64,129
0,400,100,50,500,15,128,130
1,400,150,50,500,15,128,130
2,400,200,50,500,15,128,130
0,400,100,50,500,15,64,131
1,400,120,50,500,15,64,131
2,400,155,50,500,15,64,131
3,400,200,50,500,15,64,131
4,600,100,50,500,15,64,131
0,400,100,50,500,15,16,132
1,400,100,50,500,15,32,132
2,400,100,50,500,15,64,132
3,400,100,50,500,15,128,132
4,400,150,50,500,15,16,132
5,400,150,50,500,15,128,132
6,400,200,50,500,15,128,132
0,400,30,50,500,11,128,133
1,400,100,50,500,8,128,133
2,400,100,50,500,11,128,133
3,400,100,50,500,15,0,133
4,400,200,50,500,11,128,133
5,400,300,50,500,11,128,133
0,400,10,50,500,11,16,134
1,400,100,50,500,11,16,134
2,400,100,50,500,15,16,134
3,400,100,50,500,15,32,134
4,400,100,50,500,15,64,134
5,400,150,50,500,4,64,134
6,400,150,50,500,11,16,134
7,400,150,50,500,13,64,134
8,400,150,50,500,15,64,134
9,400,200,50,500,4,64,134
10,400,250,50,500,4,64,134
0,400,100,50,500,15,64,135
