,Monkey,Date,Filename
134,U,20170601,U20170601.txt
135,U,20170602,U20170602.txt
136,U,20170605,U20170605.txt
137,U,20170606,U20170606.txt
138,U,20170607,U20170607.txt
139,U,20170608,U20170608.txt
140,U,20170609,U20170609.txt
141,U,20170613,U20170613.txt
142,U,20170614,U20170614.txt
143,U,20170615,U20170615.txt
144,U,20170616,U20170616.txt
145,U,20170619,U20170619.txt
146,U,20170620,U20170620.txt
147,U,20170621,U20170621.txt
148,U,20170622,U20170622.txt
149,U,20170623,U20170623.txt
150,U,20170626,U20170626.txt
151,U,20170627,U20170627.txt
152,U,20170628,U20170628.txt
153,U,20170629,U20170629.txt
154,U,20170630,U20170630.txt
155,U,20170703,U20170703.txt
156,U,20170704,U20170704.txt
157,U,20170705,U20170705.txt
158,U,20170706,U20170706.txt
159,U,20170711,U20170711.txt
160,U,20170712,U20170712.txt
161,U,20170713,U20170713.txt
162,U,20170717,U20170717.txt
163,U,20170718,U20170718.txt
164,U,20170719,U20170719.txt
165,U,20170720,U20170720.txt
166,U,20170801,U20170801.txt
167,U,20170802,U20170802.txt
168,U,20170803,U20170803.txt
169,U,20170804,U20170804.txt
170,U,20170807,U20170807.txt
171,U,20170808,U20170808.txt
172,U,20170809,U20170809.txt
173,U,20170810,U20170810.txt
174,U,20170811,U20170811.txt
175,U,20170814,U20170814.txt
176,U,20170815,U20170815.txt
177,U,20180223,U20180223.txt
178,U,20180226,U20180226.txt
179,U,20180227,U20180227.txt
180,U,20180228,U20180228.txt
181,U,20180301,U20180301.txt
182,U,20180302,U20180302.txt
183,U,20180305,U20180305.txt
184,U,20180306,U20180306.txt
185,U,20180307,U20180307.txt
186,U,20180308,U20180308.txt
187,U,20180309,U20180309.txt
188,U,20180312,U20180312.txt
189,U,20180313,U20180313.txt
190,U,20180314,U20180314.txt
191,U,20180315,U20180315.txt
192,U,20180316,U20180316.txt
193,U,20180319,U20180319.txt
194,U,20180320,U20180320.txt
195,U,20180321,U20180321.txt
196,U,20180322,U20180322.txt
197,U,20180323,U20180323.txt
198,U,20180326,U20180326.txt
199,U,20180327,U20180327.txt
200,U,20180328,U20180328.txt
201,U,20180402,U20180402.txt
202,U,20180404,U20180404.txt
203,U,20180405,U20180405.txt
204,U,20180406,U20180406.txt
205,U,20180411,U20180411.txt
206,U,20180412,U20180412.txt
207,U,20180413,U20180413.txt
208,U,20180416,U20180416.txt
209,U,20180417,U20180417.txt
210,U,20180418,U20180418.txt
211,U,20180419,U20180419.txt
212,U,20180420,U20180420.txt
213,U,20180423,U20180423.txt
214,U,20180424,U20180424.txt
215,U,20180425,U20180425.txt
216,U,20180426,U20180426.txt
217,U,20180430,U20180430.txt
218,U,20180501,U20180501.txt
219,U,20180502,U20180502.txt
220,U,20180503,U20180503.txt
221,U,20180504,U20180504.txt
222,U,20180509,U20180509.txt
223,U,20180510,U20180510.txt
224,U,20180511,U20180511.txt
225,U,20180514,U20180514.txt
226,U,20180515,U20180515.txt
227,U,20180516,U20180516.txt
228,U,20180517,U20180517.txt
229,U,20180518,U20180518.txt
230,U,20180521,U20180521.txt
231,U,20180522,U20180522.txt
232,U,20180523,U20180523.txt
233,U,20180530,U20180530.txt
234,U,20180531,U20180531.txt
235,U,20180605,U20180605.txt
236,Y,20160901,Y20160901.txt
237,Y,20160902,Y20160902.txt
238,Y,20160906,Y20160906.txt
239,Y,20160907,Y20160907.txt
240,Y,20160908,Y20160908.txt
241,Y,20160909,Y20160909.txt
242,Y,20160912,Y20160912.txt
243,Y,20160920,Y20160920.txt
244,Y,20160921,Y20160921.txt
245,Y,20160922,Y20160922.txt
246,Y,20160926,Y20160926.txt
247,Y,20160927,Y20160927.txt
