Monkey,Date,Ref Amp,Ref PW,Ref Freq,Ref Dur,Active Channels,Return Channels,Comp Amp,Comp PW,Misses,Hits,FAs,CRs
Y,20161108,0,0,0,0,15,64,125,450,0,23,4,10
Y,20161108,0,0,0,0,15,64,125,500,0,25,3,19
Y,20161108,0,0,0,0,15,64,135,100,3,2,2,3
Y,20161108,0,0,0,0,15,64,135,150,1,5,0,6
Y,20161108,0,0,0,0,15,64,135,200,0,6,0,7
Y,20161108,0,0,0,0,15,64,135,250,0,5,2,8
Y,20161108,0,0,0,0,15,64,135,300,0,6,0,3
Y,20161108,0,0,0,0,15,64,135,350,0,6,0,5
Y,20161108,0,0,0,0,15,64,135,400,0,6,0,6
Y,20161108,0,0,0,0,15,64,135,450,0,6,0,7
Y,20161108,0,0,0,0,15,64,135,500,0,6,1,5
Y,20161110,0,0,0,0,15,64,75,100,42,7,7,47
Y,20161110,0,0,0,0,15,64,75,150,31,16,6,35
Y,20161110,0,0,0,0,15,64,75,200,29,21,6,47
Y,20161110,0,0,0,0,15,64,75,250,14,33,9,40
Y,20161110,0,0,0,0,15,64,75,300,10,37,9,50
Y,20161110,0,0,0,0,15,64,75,350,6,41,4,51
Y,20161110,0,0,0,0,15,64,75,400,5,42,10,33
Y,20161110,0,0,0,0,15,64,75,450,1,46,5,40
Y,20161110,0,0,0,0,15,64,75,500,4,44,6,35
Y,20161111,0,0,0,0,15,16,1,1,0,0,1,1
Y,20161111,0,0,0,0,15,16,70,100,14,5,8,11
Y,20161111,0,0,0,0,15,16,70,150,7,11,10,18
Y,20161111,0,0,0,0,15,16,70,200,11,9,10,15
Y,20161111,0,0,0,0,15,16,70,250,13,7,7,12
Y,20161111,0,0,0,0,15,16,70,300,7,11,11,9
Y,20161111,0,0,0,0,15,16,70,350,14,6,6,4
Y,20161111,0,0,0,0,15,16,70,400,8,11,6,17
Y,20161111,0,0,0,0,15,16,70,450,7,11,5,10
Y,20161111,0,0,0,0,15,16,70,500,6,13,5,8
Y,20161111,0,0,0,0,15,16,75,100,17,15,25,21
Y,20161111,0,0,0,0,15,16,75,150,21,14,20,20
Y,20161111,0,0,0,0,15,16,75,200,20,13,18,19
Y,20161111,0,0,0,0,15,16,75,250,18,12,26,10
Y,20161111,0,0,0,0,15,16,75,300,12,21,17,18
Y,20161111,0,0,0,0,15,16,75,350,17,17,22,16
Y,20161111,0,0,0,0,15,16,75,400,23,10,30,13
Y,20161111,0,0,0,0,15,16,75,450,14,23,11,15
Y,20161111,0,0,0,0,15,16,75,500,15,19,19,27
Y,20161114,0,0,0,0,15,32,1,1,0,0,1,0
Y,20161114,0,0,0,0,15,32,135,100,6,29,13,29
Y,20161114,0,0,0,0,15,32,135,150,2,35,9,36
Y,20161114,0,0,0,0,15,32,135,200,6,33,10,31
Y,20161114,0,0,0,0,15,32,135,250,2,36,7,24
